,inmueble,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,beneficiarios_alimentos_dif_2014,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,aulas_interactivas_observacion,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,aulas_provisionales_observacion,conectividad,inversion_pec_2013,observacion_pec2013,inversion_pec_2014,observacion_pec2014,inversion_mobiliario,observacion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas
8414,1405211X,GOMEZ FARIAS,14DJN5650T,R,MATUTINO,MARIANO ESCOBEDO,ADRIANA BERENICE GODINEZ MARTINEZ,PREESCOLAR,12.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 8 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8415,1405213F,GOMEZ FARIAS,14DJN5695P,R,MATUTINO,FERNANDO MONTES DE OCA,ALICIA BIBIANA ALVAREZ CHAVEZ,PREESCOLAR,17.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 17 / ALIMENTO CALIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8416,1412561G,GOMEZ FARIAS,14DPR3351Y,R,MATUTINO,BENITO JUAREZ,RAUL GUILLERMO CASTELO RUVALCABA,PRIMARIA,16.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,42000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=20,,,,,,,,,,,,,,,,,,,,,,,,,,
8417,1404298C,JILOTLAN DE LOS DOLORES,14DTV0221J,R,MATUTINO,MOISES SAENZ,GLORIA CAMPOS VARGAS,SECUNDARIA,107.0,6.0,6.0,6.0,6.0,90000.0,179830.0,,,,250000.0,ESTADO = INSTALADO / AULAS INTERACTIVAS = 5,,,,,"eJALISCO = 2 MB INSTALADO /eMEXICO = 0,512 MB INSTALADO /",30000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=107,,,111033.44,PIEZAS = 134 ALUMNOS =116 MATRICULA = 116,,,,,,,,,,,,,,,710889.36,,,,,,,,,
8418,1404299G,JILOTLAN DE LOS DOLORES,14DPR2359J,R,MATUTINO,NACIONES UNIDAS,REYES OJEDA CASTREJON,PRIMARIA,137.0,6.0,6.0,6.0,6.0,90000.0,179969.28,BENEFICIARIOS = 125 / ALIMENTO CALIENTE,,,,,,,,,,,,,,162782.9,PIEZAS = 240 ALUMNOS =127 MATRICULA = 127,,,,,,,,,,,,,,,1641297.04,,,,,,,,,
8419,1404301B,JILOTLAN DE LOS DOLORES,14EPR0556W,R,MATUTINO,MORELOS,JULIA BUENO CORTEZ,PRIMARIA,51.0,3.0,6.0,6.0,3.0,,258708.3,BENEFICIARIOS = 56 / ALIMENTO CALIENTE,,,,,,,,,,,,,,73091.56,PIEZAS = 106 ALUMNOS =55 MATRICULA = 55,,,,,,,,,,,,,,,2015097.1,,,,,,,,,
8420,1404302F,JILOTLAN DE LOS DOLORES,14DJN0441F,R,MATUTINO,VICENTE GUERRERO,MARIAELENA VALENCIA ISAIS,PREESCOLAR,46.0,2.0,2.0,3.0,2.0,,,BENEFICIARIOS = 45 / ALIMENTO CALIENTE,,,,,,,,,,30000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=46,29000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=60,40452.48,PIEZAS = 86 ALUMNOS =60 MATRICULA = 60,,,,,,,,,,,,,,,850075.84,,,833873.48,,547785.44,,,,
8421,1404303J,JILOTLAN DE LOS DOLORES,14DJN1289H,R,MATUTINO,FEDERICO FROEBEL,ROCIO RUELAS GUZMAN,PREESCOLAR,54.0,2.0,2.0,2.0,2.0,,,BENEFICIARIOS = 55 / ALIMENTO CALIENTE,,,,,,,,,,30000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=54,32950.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=53,36989.88,PIEZAS = 77 ALUMNOS =53 MATRICULA = 53,,,,,,,,,,,,,,,,,,,,,,,,
8422,1404304C,JILOTLAN DE LOS DOLORES,14EPR1037T,R,MATUTINO,FRANCISCO I MADERO,LIBORIO VILLA MENDOZA,PRIMARIA,170.0,6.0,6.0,6.0,6.0,,180000.0,BENEFICIARIOS = 90 / ALIMENTO CALIENTE,,,,,,,,,,,,,,218317.64,PIEZAS = 327 ALUMNOS =175 MATRICULA = 175,,,,,,,,,,,,,,,,,,,,,,,,
8423,1404462H,JILOTLAN DE LOS DOLORES,14DPR0207R,R,MATUTINO,LAZARO CARDENAS DEL RIO,MARCO ANTONIO GARCIA LOPEZ,PRIMARIA,3.0,1.0,2.0,1.0,1.0,90000.0,89597.33,BENEFICIARIOS = 5 / ALIMENTO CALIENTE,,,,,,,,,,,,,,8657.56,PIEZAS = 11 ALUMNOS =5 MATRICULA = 5,,,,,,,,,,,,,,,,,,,,,,,,
8424,1404463A,JILOTLAN DE LOS DOLORES,14DPR0251E,R,MATUTINO,ADOLFO LOPEZ MATEOS,DAVID RUBEN DADO ORTIZ,PRIMARIA,21.0,2.0,6.0,2.0,2.0,90000.0,180000.0,BENEFICIARIOS = 20 / ALIMENTO CALIENTE,,,,,,,,,,,,,,38240.23,PIEZAS = 53 ALUMNOS =26 MATRICULA = 26,,,,,,,,,,,,,,,,,,,,,,,,
8425,1404466B,JILOTLAN DE LOS DOLORES,14DPR0512Z,R,MATUTINO,CARLOS PEREYRA,BLAS ARELLANO FABIAN,PRIMARIA,26.0,1.0,6.0,2.0,2.0,,,BENEFICIARIOS = 25 / ALIMENTO CALIENTE,,,,,,,,,,,,,,32526.56,PIEZAS = 44 ALUMNOS =21 MATRICULA = 21,,,,,,,,,,,,,,,,,,,,,,,,
8426,1404467F,JILOTLAN DE LOS DOLORES,14DPR0515X,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,MARIA FELIX QUINTANA SANTILLAN,PRIMARIA,14.0,1.0,6.0,2.0,1.0,,,BENEFICIARIOS = 14 / ALIMENTO FRIO,,,,,,,,,,,,,,18618.11,PIEZAS = 26 ALUMNOS =13 MATRICULA = 13,,,,,,,,,,,,,,,,,,,,,,,,
8427,1404468J,JILOTLAN DE LOS DOLORES,14DPR0518U,R,MATUTINO,MANUEL LOPEZ COTILLA,JOSE LUIS CHAVEZ RODRIGUEZ,PRIMARIA,22.0,2.0,5.0,2.0,2.0,,,BENEFICIARIOS = 22 / ALIMENTO FRIO,,,,,,,,,,,,,,32757.95,PIEZAS = 45 ALUMNOS =22 MATRICULA = 22,,,,,,,,,,,,,,,,,,,,,,,,
8428,1404469C,JILOTLAN DE LOS DOLORES,14DPR0519T,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,MA OFELIA ARIAS ARIAS,PRIMARIA,16.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 9 / ALIMENTO FRIO,,,,,,,,,,,,,,21590.64,PIEZAS = 31 ALUMNOS =16 MATRICULA = 16,,,,,,,,,,,,,,,,,,,,,,,,
8429,1404470B,JILOTLAN DE LOS DOLORES,14DPR0520I,R,MATUTINO,ENRIQUE C REBSAMEN,VERONICA PEREZ ARIAS,PRIMARIA,10.0,1.0,5.0,1.0,1.0,,,BENEFICIARIOS = 11 / ALIMENTO FRIO,,,,,,,,,,,,,,18724.64,PIEZAS = 23 ALUMNOS =10 MATRICULA = 10,,,,,,,,,,,,,,,,,,,,,,,,
8430,1404471F,JILOTLAN DE LOS DOLORES,14DPR0521H,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,JUAN FRANCISCO PEREZ VELAZQUEZ,PRIMARIA,30.0,1.0,6.0,2.0,2.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,,,,,,38934.4,PIEZAS = 56 ALUMNOS =29 MATRICULA = 29,,,,,,,,,,,,,,,,,,,,,,,,
8431,1404472J,JILOTLAN DE LOS DOLORES,14DPR0522G,R,MATUTINO,JUSTO SIERRA,ERNESTO RAFAEL SALAS MORENO,PRIMARIA,28.0,1.0,5.0,4.0,1.0,,,BENEFICIARIOS = 28 / ALIMENTO FRIO,,,,,,,,,,,,,,32295.17,PIEZAS = 43 ALUMNOS =20 MATRICULA = 20,,,,,,,,,,,,,,,,,,,,,,,,
8432,1404511F,JILOTLAN DE LOS DOLORES,14DPR1562O,R,MATUTINO,RAMON LOPEZ VELARDE,EDUARDO SERRANO TORO,PRIMARIA,8.0,1.0,5.0,1.0,1.0,,,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,,,,,,,8561.34,PIEZAS = 10 ALUMNOS =4 MATRICULA = 4,,,,,,,,,,,,,,,,,,,,,,,,
8433,1404512J,JILOTLAN DE LOS DOLORES,14DPR1594G,R,MATUTINO,CONSTITUCION MEXICANA,JUAN CARLOS PONCE ARELLANO,PRIMARIA,11.0,1.0,5.0,2.0,1.0,90000.0,90000.0,BENEFICIARIOS = 11 / ALIMENTO CALIENTE,,,,,,,,,,,,,,11533.87,PIEZAS = 15 ALUMNOS =7 MATRICULA = 7,77154.05,,,,,,,,,,,,,,,,,,,,,350000.0,,
8434,1404525B,JILOTLAN DE LOS DOLORES,14DPR1794E,R,MATUTINO,JOSE MA MORELOS Y PAVON,GABRIELA ARREOLA PEREZ,PRIMARIA,10.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,9931.91,PIEZAS = 12 ALUMNOS =5 MATRICULA = 5,,,,,,,,,,,,,,,,,,,,,,,,
8435,1404527J,JILOTLAN DE LOS DOLORES,14DPR1813C,R,MATUTINO,FRANCISCO VILLA,MARTIN BERNABE TRINIDAD,PRIMARIA,42.0,3.0,6.0,2.0,2.0,,,BENEFICIARIOS = 35 / ALIMENTO CALIENTE,,,,,,,,,,,,,,53006.66,PIEZAS = 77 ALUMNOS =40 MATRICULA = 40,,,,,,,,,,,,,,,,,,,,,,,,
8436,1404533G,JILOTLAN DE LOS DOLORES,14DPR1890H,R,MATUTINO,AMADO NERVO,CECILIA BARREDO REAL,PRIMARIA,16.0,1.0,5.0,3.0,1.0,,,BENEFICIARIOS = 17 / ALIMENTO FRIO,,,,,,,,,,,,,,25933.74,PIEZAS = 38 ALUMNOS =20 MATRICULA = 20,,,,,,,,,,,,,,,,,,,,,,,,
8437,1404560A,JILOTLAN DE LOS DOLORES,14DPR2135B,R,MATUTINO,BENITO JUAREZ,ALEJANDRO MARTINEZ ALCARAZ,PRIMARIA,7.0,1.0,4.0,1.0,1.0,,,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,,,,,,,14381.54,PIEZAS = 16 ALUMNOS =6 MATRICULA = 6,,,,,,,,,,,,,,,,,,,,,,,,
8438,1404561E,JILOTLAN DE LOS DOLORES,14DPR2136A,R,MATUTINO,EMILIANO ZAPATA,PATRICIA JIMENEZ RUIZ,PRIMARIA,10.0,1.0,5.0,1.0,1.0,90000.0,89420.0,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,,,,,,,12769.27,PIEZAS = 17 ALUMNOS =8 MATRICULA = 8,,,,,,,,,,,,,,,,,,,,,,,,
8439,1404562X,JILOTLAN DE LOS DOLORES,14DPR2137Z,R,MATUTINO,VENUSTIANO CARRANZA,VERONICA ISIDRA ALFARO CARRION,PRIMARIA,8.0,1.0,5.0,2.0,1.0,,,BENEFICIARIOS = 7 / ALIMENTO FRIO,,,,,,,,,,,,,,15510.41,PIEZAS = 21 ALUMNOS =10 MATRICULA = 10,,,,,,,,,,,,,,,,,,,,,,,,
8440,1404567G,JILOTLAN DE LOS DOLORES,14DPR2259K,R,MATUTINO,VICENTE GUERRERO,ANA LOURDES DIAZ GAYTAN,PRIMARIA,10.0,1.0,5.0,1.0,1.0,90000.0,78131.0,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,,,,,,,16880.98,PIEZAS = 23 ALUMNOS =11 MATRICULA = 11,,,,,,,,,,,,,,,,,,,,,,,,
8441,1404568K,JILOTLAN DE LOS DOLORES,14DPR2292S,R,VESPERTINO,IGNACIO M ALTAMIRANO,JOSE DAGOBERTO VALDEZ GUITRON,PRIMARIA,13.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 13 / ALIMENTO FRIO,,,,,,,,,,,,,,14602.62,PIEZAS = 21 ALUMNOS =11 MATRICULA = 11,,,,,,,,,,,,,,,,,,,,,,,,
8442,1404577X,JILOTLAN DE LOS DOLORES,14DPR2531B,R,MATUTINO,HIMNO NACIONAL MEXICANO,VICENTE CARRASCO JUAREZ,PRIMARIA,66.0,2.0,6.0,4.0,2.0,,,BENEFICIARIOS = 36 / ALIMENTO FRIO,,,,,,,,,,,,,,82482.8,PIEZAS = 122 ALUMNOS =64 MATRICULA = 64,,,,,,,,,,,,,,,,,,,,,,,,
8443,1404601E,JILOTLAN DE LOS DOLORES,14DPR3486M,R,MATUTINO,IGNACIO ZARAGOZA,ERIKA MARIA VERGARA SANCHEZ,PRIMARIA,21.0,1.0,6.0,1.0,1.0,90000.0,180000.0,BENEFICIARIOS = 20 / ALIMENTO CALIENTE,,,,,,,,,,,,,,23655.38,PIEZAS = 36 ALUMNOS =20 MATRICULA = 20,,,,,,,,,,,,,,,,,,,,,,,,
8444,1404609D,JILOTLAN DE LOS DOLORES,14DPR3831F,R,MATUTINO,JOSE MARIA MORELOS,VERONICA CEJA RAMIREZ,PRIMARIA,18.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 20 / ALIMENTO CALIENTE,,,,,,,,,,,,,,23965.22,PIEZAS = 34 ALUMNOS =17 MATRICULA = 17,,,,,,,,,,,,,,,,,,,,,,,,
8445,1404610C,JILOTLAN DE LOS DOLORES,14DPR3908D,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,MARIA ELENA MEJIA MANCINAS,PRIMARIA,15.0,1.0,5.0,1.0,1.0,,,BENEFICIARIOS = 11 / ALIMENTO CALIENTE,,,,,,500000.0,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, EXCELENCIA 2014/ SUST 2013 =0/ SUST 2014 =1/ SUST 2015 =0",,,,,,22594.65,PIEZAS = 32 ALUMNOS =16 MATRICULA = 16,77793.41,,,,,,,,,,,,,,,,,,,,,,,
8446,1404611G,JILOTLAN DE LOS DOLORES,14DPR3923W,R,MATUTINO,NIÃOS HEROES,JOSEFINA HERNANDEZ FIGUEROA,PRIMARIA,10.0,1.0,6.0,1.0,1.0,90000.0,90000.0,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,,,,,,12769.27,PIEZAS = 17 ALUMNOS =8 MATRICULA = 8,,,,,,,,,,,,,,,,,,,,,,,,
8447,1404612K,JILOTLAN DE LOS DOLORES,14DPR3948E,R,MATUTINO,EFRAIN GONZALEZ LUNA,JOSE MIGUEL RODRIGUEZ CASTILLO,PRIMARIA,10.0,1.0,6.0,1.0,1.0,,,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, NO REPORTA FOTOS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,12904.44,PIEZAS = 17 ALUMNOS =8 MATRICULA = 8,,,,,,,,,,,,,,,,,,,,,,,,
8448,1404615A,JILOTLAN DE LOS DOLORES,14DPR4001Z,R,MATUTINO,LAZARO CARDENAS DEL RIO,IRMA YADIRA GARCIA ROSALES,PRIMARIA,8.0,1.0,4.0,1.0,1.0,90000.0,87101.48,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,,,,,,,,12904.44,PIEZAS = 17 ALUMNOS =8 MATRICULA = 8,,,,,,,,,,,,,,,,,,,,,,,,
8449,1404617X,JILOTLAN DE LOS DOLORES,14EPR0191F,R,MATUTINO,MIGUEL HIDALGO,PASCUAL ARROYO PADILLA,PRIMARIA,65.0,5.0,5.0,5.0,5.0,,,BENEFICIARIOS = 35 / ALIMENTO CALIENTE,,,,,,,,,,,,,,94094.56,PIEZAS = 131 ALUMNOS =65 MATRICULA = 65,,,,,,,,,,,,,,,,,,,,,,,,
8450,1404620E,JILOTLAN DE LOS DOLORES,14EPR1470X,R,VESPERTINO,GORDIANO GUZMAN,REYNA LINDA LOPEZ VELAZQUEZ,PRIMARIA,18.0,1.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,18635.88,PIEZAS = 30 ALUMNOS =18 MATRICULA = 18,,,,,,,,,,,,,,,,,,,,,,,,
8451,1404633H,JILOTLAN DE LOS DOLORES,14DJN1166Y,R,MATUTINO,CLEMENTE OROZCO,ERICA SEPULVEDA VALDOVINOS,PREESCOLAR,22.0,1.0,2.0,2.0,1.0,,,BENEFICIARIOS = 25 / ALIMENTO CALIENTE,,,,,,,,,,30000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=22,29000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=22,15684.84,PIEZAS = 32 ALUMNOS =22 MATRICULA = 22,,,,,,,,,,,,,,,,,,,,,,,,
8452,1404639J,JILOTLAN DE LOS DOLORES,14DJN1854M,R,MATUTINO,MANUEL M PONCE,TERESA LOPEZ SANCHEZ,PREESCOLAR,6.0,1.0,2.0,1.0,1.0,,,BENEFICIARIOS = 9 / ALIMENTO FRIO,,,,,,,,,,30000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=6,,,7680.84,PIEZAS = 12 ALUMNOS =7 MATRICULA = 7,,,,,,,,,,,,,,,,,,,,,,,,
8453,1404642F,JILOTLAN DE LOS DOLORES,14DJN1907A,R,MATUTINO,LAZARO CARDENAS DEL RIO,KARINA MONROY MEDINA,PREESCOLAR,28.0,1.0,2.0,2.0,1.0,,,BENEFICIARIOS = 31 / ALIMENTO FRIO,,,,,,,,,,,,30100.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=34,22088.04,PIEZAS = 48 ALUMNOS =34 MATRICULA = 34,,,,,,,,,,,,,,,,,,,,,,,,
8454,1404668A,JILOTLAN DE LOS DOLORES,14DTV0265G,R,MATUTINO,20 DE NOVIEMBRE,JUAN RAMON RODRIGUEZ VELASCO,SECUNDARIA,46.0,3.0,3.0,5.0,3.0,,,,150000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 3,,,,TOTAL DE AULAS = 2/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 2/ OBSERVACIONES ADMINISTRATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,,,,57200.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=46,39258.72,PIEZAS = 45 ALUMNOS =36 MATRICULA = 36,,,,,,,,,,,,,,,,,,,,,,,,
8455,1404673E,JILOTLAN DE LOS DOLORES,14DTV0365F,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,LEOBARDO VILLAGRANA ALVAREZ,SECUNDARIA,32.0,2.0,3.0,3.0,3.0,90000.0,180000.0,,150000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 3,,,,,eMEXICO = 1 MB INSTALADO /,,,,,25433.48,PIEZAS = 29 ALUMNOS =23 MATRICULA = 23,,,,,,,,,,,,,,,,,,,,,,,,
8456,1404675B,JILOTLAN DE LOS DOLORES,14DTV0404R,R,MATUTINO,IGNACIO ZARAGOZA,RAMON LOPEZ CONTRERAS,SECUNDARIA,11.0,2.0,3.0,3.0,3.0,90000.0,180000.0,,150000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 3,,,,,eMEXICO = 1 MB INSTALADO /,,,,,21522.72,PIEZAS = 21 ALUMNOS =12 MATRICULA = 12,,,,,,,,,,,,,,,,,,,,,,,,
8457,1404677J,JILOTLAN DE LOS DOLORES,14DTV0500U,R,MATUTINO,ARNULFO NUÃEZ CONTRERAS,SUSANA BEATRIZ TORRES FLORES,SECUNDARIA,17.0,2.0,3.0,2.0,2.0,90000.0,180000.0,,100000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 2,,,,,,,,,,20260.48,PIEZAS = 22 ALUMNOS =16 MATRICULA = 16,,,,,,,,,,,,,,,,,,,,,,,,
8458,1404681J,JILOTLAN DE LOS DOLORES,14DTV0545Q,R,MATUTINO,LAZARO CARDENAS DEL RIO,GUSTAVO GUZMAN AVALOS,SECUNDARIA,10.0,1.0,3.0,2.0,1.0,90000.0,180000.0,,100000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 2,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 1/ OBSERVACIONES SALA DE MAESTROS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,,,,,,16565.48,PIEZAS = 17 ALUMNOS =11 MATRICULA = 11,,,,,,,,,,,,,,,,,,,,,,,,
8459,1404685D,JILOTLAN DE LOS DOLORES,14DTV0586Q,R,MATUTINO,SOR JUANA INES DE LA CRUZ,RICARDO PALACIOS MEJIA,SECUNDARIA,29.0,2.0,3.0,4.0,3.0,90000.0,179910.03,,50000.0,,,ESTADO = EN PROCESO DE INSTALACION / AULAS INTERACTIVAS = 1,,,,TOTAL DE AULAS = 3/ POR SUSTITUIR USO EDUC = 3/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,,40000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=29,,,37041.72,PIEZAS = 42 ALUMNOS =33 MATRICULA = 33,,,,,,,,,,,,,,,,,,,,,,,,
8460,1404693X,JILOTLAN DE LOS DOLORES,14DTV0620G,R,MATUTINO,RAFAEL RAMIREZ,MA. ROSALBA PRECIADO BARON,SECUNDARIA,9.0,2.0,3.0,3.0,2.0,90000.0,178943.24,,,,,,,,,"TOTAL DE AULAS = 3/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 3/ OBSERVACIONES 2 BODEGAS, 1 COMEDOR/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0",,,,,,22261.72,PIEZAS = 22 ALUMNOS =13 MATRICULA = 13,,,,,,,,,,,,,,,,,,,,,,,,
8461,1404694B,JILOTLAN DE LOS DOLORES,14DTV0627Z,R,MATUTINO,OCTAVIO PAZ,RAFAEL SOTO LOMELI,SECUNDARIA,55.0,3.0,3.0,3.0,3.0,90000.0,180000.0,,150000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 3,,,,,eMEXICO = 1 MB INSTALADO /,,,,,56255.72,PIEZAS = 68 ALUMNOS =59 MATRICULA = 59,,,,,,,,,,,,,,,,,,,,,,,,
8462,1411152J,JILOTLAN DE LOS DOLORES,14DPR3987G,R,VESPERTINO,ALBERTO CARDENAS JIMENEZ,CECILIA BARREDO REAL,PRIMARIA,34.0,2.0,6.0,2.0,2.0,,,BENEFICIARIOS = 28 / ALIMENTO FRIO,,,,,,,,,,,,,,45787.25,PIEZAS = 66 ALUMNOS =34 MATRICULA = 34,,,,,,,,,,,,,,,,,,,,,,,,
8463,1404330D,PIHUAMO,14DJN1709A,R,MATUTINO,EL CHAMIZAL,MONICA LAURA MONTES GODINEZ,PREESCOLAR,82.0,4.0,4.0,5.0,4.0,,,BENEFICIARIOS = 59 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /MC2 = 1 MB INSTALADO /,,,39000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=79,,,,,,,,,,,,,,,,,,,,,,,,,,
8464,1404331H,PIHUAMO,14DPR2058N,R,MATUTINO,MANUEL AVILA CAMACHO,JORGE ALEJANDRO GARCIA GUZMAN,PRIMARIA,176.0,8.0,8.0,9.0,8.0,,,BENEFICIARIOS = 98 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /MC2 = 1 MB PRE-INSTALADO /INTERNET PARTICULAR /,,,,,,,107363.71,,,,,,,,,,,,,,,,,,,,,588319.99,,
8465,1404331H,PIHUAMO,14DPR0313A,L,VESPERTINO,SALVADOR VARELA RESENDIZ,ARNOLDO AVALOS VIRGEN,PRIMARIA,57.0,5.0,6.0,9.0,5.0,,,BENEFICIARIOS = 34 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /MC2 = 1 MB PRE-INSTALADO /,70000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=57,29000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=57,,,,,,,,,,,,,,,,,,,,,,,,,,
8466,1404332A,PIHUAMO,14DES0016U,R,MATUTINO,CALMECAC,TERESA RAMIREZ AYALA,SECUNDARIA,388.0,19.0,14.0,14.0,14.0,,,,,700000.0,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 14,,,,TOTAL DE AULAS = 2/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 2/ OBSERVACIONES 2 BODEGAS/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8467,1404333E,PIHUAMO,14EPR0630N,R,MATUTINO,LAZARO CARDENAS,OCTAVIO GARCIA MARTINEZ,PRIMARIA,110.0,5.0,6.0,5.0,5.0,,296793.1,BENEFICIARIOS = 74 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /MC2 = 1 MB PRE-INSTALADO /,100000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=110,51700.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=110,,,,,,,,,,,,,,,,,,,,,,,,,,
